temperature_2m,relative_humidity_2m,precipitation,windspeed_10m,weathercode,hour,is_daytime,feels_like_temp,day_of_week_encoded,weather_Clear,weather_Foggy,weather_Light Rain,weather_Mainly Clear,weather_Overcast,weather_Partly Cloudy,weather_Showers,weather_Unknown,temperature_2m_zscore,relative_humidity_2m_zscore,precipitation_zscore,windspeed_10m_zscore,feels_like_temp_zscore,temperature_2m_minmax,relative_humidity_2m_minmax,precipitation_minmax,windspeed_10m_minmax,feels_like_temp_minmax
20.9,51.0,0.0,13.0,3,0,0,18.76,3,False,False,False,False,True,False,False,False,0.10514940883189242,-0.4286864510483229,0.0,0.2207664066248421,0.09646142822081989,0.47142857142857136,0.3513513513513514,0.0,0.4989858012170386,0.4656423388817756
20.1,54.0,0.0,11.2,3,1,0,18.24,3,False,False,False,False,True,False,False,False,-0.025843475716656166,-0.27711680062442173,0.0,-0.09319525581979261,-0.015593051226512297,0.4428571428571429,0.391891891891892,0.0,0.42596348884381335,0.4434485702091335
19.9,54.0,0.0,12.9,3,2,0,18.08,3,False,False,False,False,True,False,False,False,-0.05859169685379389,-0.27711680062442173,0.0,0.20332409204458468,-0.05007135259492203,0.43571428571428567,0.391891891891892,0.0,0.49492900608519275,0.4366197183098591
20.257831325301208,62.0,0.0,12.6,3,3,0,18.7,3,False,False,False,False,True,False,False,False,5.817252659514562e-16,0.12706893383931472,0.0,0.1509971483038121,0.08353206520766578,0.44849397590361456,0.5000000000000001,0.0,0.48275862068965514,0.4630815194195475
18.7,74.0,0.0,10.1,3,4,0,17.8,3,False,False,False,False,True,False,False,False,-0.25508102367661734,0.7333475355349195,0.0,-0.2850607162026248,-0.11040837998963848,0.39285714285714285,0.6621621621621622,0.0,0.3813387423935091,0.42466922748612895
18.1,79.0,0.0,8.6,2,5,0,17.42,3,False,False,False,False,False,True,False,False,-0.35332568708802875,0.9859636195747548,0.0,-0.546695434906487,-0.1922943457396113,0.3714285714285715,0.7297297297297297,0.0,0.3204868154158215,0.4084507042253522
17.7,82.0,0.0,7.3,0,6,1,17.15,3,True,False,False,False,False,False,False,False,-0.4188221293623036,1.137533269998656,0.0,-0.773445524449834,-0.25047647929880335,0.35714285714285715,0.7702702702702703,0.0,0.26774847870182555,0.3969270166453264
18.7,77.0,0.0,8.7,2,7,1,17.9,3,False,False,False,False,False,True,False,False,-0.25508102367661734,0.8849171859588206,0.0,-0.5292531203262295,-0.08885944163438288,0.39285714285714285,0.7027027027027027,0.0,0.32454361054766734,0.4289372599231754
20.5,67.0,0.0,10.2,3,8,1,19.11,3,False,False,False,False,True,False,False,False,0.03965296655761812,0.37968501787915004,0.0,-0.2676184016223674,0.17188271246421566,0.45714285714285713,0.5675675675675677,0.0,0.38539553752535494,0.48058045241143826
22.7,59.484939759036145,0.0,10.0,3,9,1,20.64,3,False,False,False,False,True,False,False,False,0.39988339906612785,0.0,0.0,-0.3025030307828822,0.5015814692996337,0.5357142857142856,0.4660126994464344,0.0,0.3772819472616633,0.5458813486982501
24.9,49.0,0.0,10.1,3,10,1,21.86,3,False,False,False,False,True,False,False,False,0.7601138315746376,-0.529732884664257,0.0,-0.2850607162026248,0.7644785172337574,0.6142857142857143,0.32432432432432434,0.0,0.3813387423935091,0.5979513444302176
27.2,41.0,0.0,9.6,3,11,1,23.14,3,False,False,False,False,True,False,False,False,1.1367183746517162,-0.9339186191279936,0.0,-0.3722722891039122,1.0403049281810353,0.6964285714285714,0.21621621621621623,0.0,0.36105476673427994,0.6525821596244132
29.2,35.0,0.0,8.2,0,12,1,24.21,3,True,False,False,False,False,False,False,False,1.464200586023089,-1.2370579199757958,0.0,-0.616464693227517,1.2708785685822752,0.7678571428571428,0.1351351351351352,0.0,0.3042596348884381,0.6982501067008111
30.7,30.0,0.0,11.45,2,13,1,24.9,3,False,False,False,False,False,True,False,False,1.7098122445516182,-1.489674004015631,0.0,-0.049589469369148924,1.4195662432335414,0.8214285714285714,0.0675675675675676,0.0,0.43610547667342797,0.727699530516432
20.257831325301208,25.0,0.0,12.0,3,14,1,17.18,3,False,False,False,False,True,False,False,False,5.817252659514562e-16,-1.7422900880554666,0.0,0.04634326082226732,-0.2440117977922263,0.44849397590361456,0.0,0.0,0.45841784989858014,0.3982074263764404
32.3,25.0,0.0,14.4,0,15,1,25.61,3,True,False,False,False,False,False,False,False,1.971798013648716,-1.7422900880554666,0.0,0.4649588107484468,1.5725637055558597,0.8785714285714286,0.0,0.0,0.5557809330628803,0.7580025608194623
32.0,27.0,0.0,16.9,0,16,1,25.58,3,True,False,False,False,False,False,False,False,1.9226756819430106,-1.6412436544395324,0.0,0.9010166752548834,1.5660990240492827,0.8678571428571429,0.027027027027027084,0.0,0.6572008113590263,0.7567221510883482
31.3,30.0,0.0,11.45,0,17,1,25.34,3,True,False,False,False,False,False,False,False,1.8080569079630302,-1.489674004015631,0.0,-0.049589469369148924,1.5143815719966685,0.842857142857143,0.0675675675675676,0.0,0.43610547667342797,0.7464788732394367
30.5,34.0,0.0,16.3,2,18,1,25.09,3,False,False,False,False,False,True,False,False,1.6770640234144811,-1.2875811367837628,0.0,0.7963627877733389,1.4605092261085282,0.8142857142857143,0.12162162162162166,0.0,0.6328600405679514,0.7358087921468204
29.6,39.0,0.0,14.5,1,19,1,24.82,3,False,False,False,True,False,False,False,False,1.5296970282973636,-1.0349650527439276,0.0,0.4824011253287042,1.402327092549337,0.7821428571428573,0.18918918918918926,0.0,0.5598377281947262,0.7242851045667948
27.9,44.0,0.0,11.4,3,20,1,23.89,3,False,False,False,False,True,False,False,False,1.2513371486316964,-0.7823489687040923,0.0,-0.05831062665927748,1.2019219658454556,0.7214285714285713,0.2567567567567568,0.0,0.4340770791075051,0.6845924029022621
26.5,50.0,0.0,11.45,3,21,0,23.2,3,False,False,False,False,True,False,False,False,1.022099600671736,-0.47920966785629,0.0,-0.049589469369148924,1.0532342911941885,0.6714285714285715,0.33783783783783783,0.0,0.43610547667342797,0.655142979086641
25.5,56.0,0.0,10.0,3,22,0,22.77,3,False,False,False,False,True,False,False,False,0.8583584949860497,-0.17607036700848763,0.0,-0.3025030307828822,0.9605738562665875,0.6357142857142857,0.41891891891891897,0.0,0.3772819472616633,0.6367904396073409
24.7,61.0,0.0,9.4,3,23,0,22.41,3,False,False,False,False,True,False,False,False,0.7273656104375005,0.07654571703134767,0.0,-0.407156918264427,0.8829976781876658,0.6071428571428572,0.4864864864864865,0.0,0.35294117647058826,0.6214255228339736
23.8,66.0,0.0,8.1,3,0,0,21.92,1,False,False,False,False,True,False,False,False,0.579998615320383,0.329161801071183,0.0,-0.6339070078077743,0.7774078802469114,0.575,0.5540540540540541,0.0,0.3002028397565923,0.6005121638924455
23.2,69.0,0.0,11.45,3,1,0,21.56,1,False,False,False,False,True,False,False,False,0.481753951908971,0.48073145149508417,0.0,-0.049589469369148924,0.6998317021679891,0.5535714285714286,0.5945945945945946,0.0,0.43610547667342797,0.585147247119078
22.3,72.0,0.0,5.5,3,2,0,20.92,1,False,False,False,False,True,False,False,False,0.3343869567918536,0.6323011019189854,0.0,-1.0874071868944686,0.5619184966943509,0.5214285714285714,0.6351351351351352,0.0,0.1947261663286004,0.5578318395219803
21.8,74.0,0.0,2.9,3,3,0,20.57,1,False,False,False,False,True,False,False,False,0.2525164039490104,0.7333475355349195,0.0,-1.540907365981163,0.48649721245095434,0.5035714285714286,0.6621621621621622,0.0,0.08924949290060852,0.5428937259923174
20.257831325301208,75.0,0.0,4.3,3,4,0,19.23,1,False,False,False,False,True,False,False,False,5.817252659514562e-16,0.7838707523428865,0.0,-1.2967149618575584,0.19774143849052314,0.44849397590361456,0.6756756756756758,0.0,0.1460446247464503,0.4857020913358942
20.9,76.0,0.0,5.4,3,5,0,19.85,1,False,False,False,False,True,False,False,False,0.10514940883189242,0.8343939691508536,0.0,-1.1048495014747262,0.33134485629311095,0.47142857142857136,0.6891891891891894,0.0,0.1906693711967546,0.5121638924455827
20.6,77.0,0.0,0.8,0,6,1,19.62,1,True,False,False,False,False,False,False,False,0.056027077126186986,0.8849171859588206,0.0,-1.9071959721665699,0.2817822980760219,0.4607142857142858,0.7027027027027027,0.0,0.004056795131845845,0.5023474178403757
21.8,72.0,0.0,4.1,0,7,1,20.48,1,True,False,False,False,False,False,False,False,0.2525164039490104,0.6323011019189854,0.0,-1.3315995910180733,0.4671031679312239,0.5035714285714286,0.6351351351351352,0.0,0.1379310344827586,0.5390524967989756
23.7,63.0,0.0,3.4,51,8,1,21.67,1,False,False,False,False,False,False,False,True,0.5636245047518141,0.1775921506472818,0.0,-1.4536957930798755,0.7235355343587714,0.5714285714285714,0.5135135135135136,0.0,0.10953346855983773,0.5898420827998294
26.0,59.484939759036145,0.0,5.4,1,9,1,23.41,1,False,False,False,True,False,False,False,False,0.9402290478288928,0.0,0.0,-1.1048495014747262,1.0984870617402265,0.6535714285714285,0.4660126994464344,0.0,0.1906693711967546,0.6641058472044388
28.1,59.484939759036145,0.0,11.45,0,10,1,25.17,1,True,False,False,False,False,False,False,False,1.2840853697688344,0.0,0.0,-0.049589469369148924,1.4777483767927335,0.7285714285714286,0.4660126994464344,0.0,0.43610547667342797,0.7392232180964577
29.8,42.0,0.0,11.2,2,11,1,25.21,1,False,False,False,False,False,True,False,False,1.562445249434501,-0.8833954023200264,0.0,-0.09319525581979261,1.4863679521348356,0.7892857142857144,0.22972972972972971,0.0,0.42596348884381335,0.7409304310712763
30.6,40.0,0.0,15.1,0,12,1,25.66,1,True,False,False,False,False,False,False,False,1.69343813398305,-0.9844418359359606,0.0,0.5870550128102491,1.5833381747334878,0.8178571428571428,0.20270270270270274,0.0,0.5841784989858012,0.7601365770379855
31.4,38.0,0.0,17.0,0,13,1,26.09,1,True,False,False,False,False,False,False,False,1.8244310185315986,-1.0854882695518948,0.0,0.9184589898351412,1.6759986096610888,0.8464285714285713,0.17567567567567577,0.0,0.6612576064908723,0.7784891165172856
31.5,37.0,0.0,19.6,1,14,1,26.08,1,False,False,False,True,False,False,False,False,1.8408051291001675,-1.1360114863598618,0.0,1.3719591689218358,1.673843715825563,0.8500000000000001,0.16216216216216217,0.0,0.7667342799188642,0.7780623132735809
30.7,36.0,0.0,21.3,0,15,1,25.4,1,True,False,False,False,False,False,False,False,1.7098122445516182,-1.1865347031678288,0.0,1.6684785167862128,1.5273109350098217,0.8214285714285714,0.14864864864864868,0.0,0.8356997971602435,0.7490396927016645
30.0,37.0,0.0,19.7,0,16,1,24.96,1,True,False,False,False,False,False,False,False,1.595193470571638,-1.1360114863598618,0.0,1.389401483502093,1.4324956062466956,0.7964285714285715,0.16216216216216217,0.0,0.7707910750507099,0.73026034997866
28.9,40.0,0.0,19.7,0,17,1,24.36,1,True,False,False,False,False,False,False,False,1.4150782543173828,-0.9844418359359606,0.0,1.389401483502093,1.303201976115159,0.7571428571428571,0.20270270270270274,0.0,0.7707910750507099,0.7046521553563807
27.5,44.0,0.0,18.5,0,18,1,23.58,1,True,False,False,False,False,False,False,False,1.1858407063574223,-0.7823489687040923,0.0,1.1800937085390033,1.1351202569441614,0.7071428571428571,0.2567567567567568,0.0,0.7221095334685599,0.6713615023474178
26.1,51.0,0.0,15.8,0,19,1,22.94,1,True,False,False,False,False,False,False,False,0.9566031583974617,-0.4286864510483229,0.0,0.7091512148720516,0.9972070514705232,0.6571428571428573,0.3513513513513514,0.0,0.6125760649087222,0.6440460947503202
24.6,56.0,0.0,12.8,0,20,1,22.03,1,True,False,False,False,False,False,False,False,0.7109914998689322,-0.17607036700848763,0.0,0.18588177746432724,0.8011117124376931,0.6035714285714286,0.41891891891891897,0.0,0.4908722109533469,0.6052069995731968
25.6,56.0,0.0,12.0,0,21,0,22.85,1,True,False,False,False,False,False,False,False,0.8747326055546185,-0.17607036700848763,0.0,0.04634326082226732,0.9778130069507928,0.6392857142857142,0.41891891891891897,0.0,0.45841784989858014,0.6402048655569783
26.3,56.0,0.0,14.6,0,22,0,23.43,1,True,False,False,False,False,False,False,False,0.9893513795345988,-0.17607036700848763,0.0,0.49984343990896163,1.1027968494112776,0.6642857142857144,0.41891891891891897,0.0,0.563894523326572,0.664959453691848
25.4,58.0,0.0,10.8,0,23,0,22.81,1,True,False,False,False,False,False,False,False,0.8419843844174808,-0.0750239333925535,0.0,-0.16296451414082228,0.9691934316086898,0.6321428571428571,0.44594594594594594,0.0,0.4097363083164301,0.6384976525821595
24.7,60.0,0.0,12.9,0,0,0,22.35,5,True,False,False,False,False,False,False,False,0.7273656104375005,0.026022500223380613,0.0,0.20332409204458468,0.8700683151745124,0.6071428571428572,0.472972972972973,0.0,0.49492900608519275,0.6188647033717456
24.5,62.0,0.0,13.0,0,1,0,22.3,5,True,False,False,False,False,False,False,False,0.6946173893003633,0.12706893383931472,0.0,0.2207664066248421,0.8592938459968843,0.6000000000000001,0.5000000000000001,0.0,0.4989858012170386,0.6167306871532223
23.8,66.0,0.0,9.8,3,2,0,21.92,5,False,False,False,False,True,False,False,False,0.579998615320383,0.329161801071183,0.0,-0.33738765994339703,0.7774078802469114,0.575,0.5540540540540541,0.0,0.3691683569979717,0.6005121638924455
23.2,70.0,0.0,8.6,3,3,0,21.62,5,False,False,False,False,True,False,False,False,0.481753951908971,0.5312546683030512,0.0,-0.546695434906487,0.7127610651811431,0.5535714285714286,0.6081081081081082,0.0,0.3204868154158215,0.5877080665813061
22.5,73.0,0.0,9.5,0,4,0,21.15,5,True,False,False,False,False,False,False,False,0.36713517792899075,0.6828243187269524,0.0,-0.3897146036841696,0.6114810549114391,0.5285714285714285,0.6486486486486487,0.0,0.35699797160243407,0.5676483141271873
22.0,75.0,0.0,9.5,0,5,0,20.8,5,True,False,False,False,False,False,False,False,0.2852646250861476,0.7838707523428865,0.0,-0.3897146036841696,0.5360597706680433,0.5107142857142857,0.6756756756756758,0.0,0.35699797160243407,0.5527102005975246
21.8,75.0,0.0,10.0,0,6,1,20.62,5,True,False,False,False,False,False,False,False,0.2525164039490104,0.7838707523428865,0.0,-0.3025030307828822,0.49727168162858254,0.5035714285714286,0.6756756756756758,0.0,0.3772819472616633,0.5450277422108409
22.9,72.0,0.0,10.9,0,7,1,21.46,5,True,False,False,False,False,False,False,False,0.432631620203265,0.6323011019189854,0.0,-0.14552219956056486,0.6782827638127334,0.5428571428571427,0.6351351351351352,0.0,0.4137931034482759,0.5808792146820316
24.9,63.0,0.0,14.1,0,8,1,22.69,5,True,False,False,False,False,False,False,False,0.7601138315746376,0.1775921506472818,0.0,0.41263186700767424,0.9433347055823831,0.6142857142857143,0.5135135135135136,0.0,0.5436105476673428,0.6333760136577038
20.257831325301208,59.484939759036145,0.0,12.6,2,9,1,18.6,5,False,False,False,False,False,True,False,False,5.817252659514562e-16,0.0,0.0,0.1509971483038121,0.06198312685241017,0.44849397590361456,0.4660126994464344,0.0,0.48275862068965514,0.4588134869825012
29.8,46.0,0.0,12.6,1,10,1,25.52,5,False,False,False,True,False,False,False,False,1.562445249434501,-0.6813025350881582,0.0,0.1509971483038121,1.5531696610361292,0.7892857142857144,0.2837837837837839,0.0,0.48275862068965514,0.7541613316261204
32.3,38.0,0.0,13.0,1,11,1,26.77,5,False,False,False,True,False,False,False,False,1.971798013648716,-1.0854882695518948,0.0,0.2207664066248421,1.82253139047683,0.8785714285714286,0.17567567567567577,0.0,0.4989858012170386,0.807511737089202
20.257831325301208,59.484939759036145,0.0,16.8,2,12,1,18.6,5,False,False,False,False,False,True,False,False,5.817252659514562e-16,0.0,0.0,0.8835743606746264,0.06198312685241017,0.44849397590361456,0.4660126994464344,0.0,0.6531440162271805,0.4588134869825012
35.4,59.484939759036145,0.0,20.0,3,13,1,31.28,5,False,False,False,False,True,False,False,False,2.479395441274344,0.0,0.0,1.4417284272428654,2.794388510298879,0.9892857142857143,0.4660126994464344,0.0,0.7829614604462475,1.0
35.7,29.0,0.0,21.8,2,14,1,28.4,5,False,False,False,False,False,True,False,False,2.5285177729800505,-1.5401972208235983,0.0,1.7556900896875,2.1737790856675034,1.0000000000000002,0.05405405405405406,0.0,0.8559837728194727,0.8770806658130601
35.7,29.0,0.0,11.45,0,15,1,28.4,5,True,False,False,False,False,False,False,False,2.5285177729800505,-1.5401972208235983,0.0,-0.049589469369148924,2.1737790856675034,1.0000000000000002,0.05405405405405406,0.0,0.43610547667342797,0.8770806658130601
35.2,31.0,0.0,11.45,2,16,1,28.24,5,False,False,False,False,False,True,False,False,2.446647220137207,-1.439150787207664,0.0,-0.049589469369148924,2.139300784299094,0.9821428571428572,0.08108108108108114,0.0,0.43610547667342797,0.8702518139137858
34.6,34.0,0.0,25.349999999999998,3,17,1,28.11,5,False,False,False,False,True,False,False,False,2.3484025567257953,-1.2875811367837628,0.0,2.37489225728664,2.111287164437261,0.9607142857142859,0.12162162162162166,0.0,0.9999999999999999,0.8647033717456252
34.3,35.0,0.0,24.5,2,18,1,27.98,5,False,False,False,False,False,True,False,False,2.2992802250200888,-1.2370579199757958,0.0,2.226632583354452,2.0832735445754285,0.95,0.1351351351351352,0.0,0.9655172413793104,0.8591549295774648
32.6,41.0,0.0,22.2,3,19,1,27.27,5,False,False,False,False,True,False,False,False,2.0209203453544227,-0.9339186191279936,0.0,1.8254593480085297,1.9302760822531104,0.8892857142857145,0.21621621621621623,0.0,0.8722109533468559,0.8288518992744345
31.2,46.0,0.0,19.6,3,20,1,26.62,5,False,False,False,False,True,False,False,False,1.7916827973944613,-0.6813025350881582,0.0,1.3719591689218358,1.7902079829439463,0.8392857142857142,0.2837837837837839,0.0,0.7667342799188642,0.8011096884336322
29.9,52.0,0.0,14.1,3,21,0,26.08,5,False,False,False,False,True,False,False,False,1.578819360003069,-0.37816323424035586,0.0,0.41263186700767424,1.673843715825563,0.7928571428571429,0.3648648648648649,0.0,0.5436105476673428,0.7780623132735809
28.9,55.0,0.0,13.8,3,22,0,25.5,5,False,False,False,False,True,False,False,False,1.4150782543173828,-0.2265935838164547,0.0,0.360304923266902,1.5488598733650782,0.7571428571428571,0.4054054054054055,0.0,0.5314401622718053,0.753307725138711
28.2,56.0,0.0,13.2,3,23,0,25.0,5,False,False,False,False,True,False,False,False,1.3004594803374026,-0.17607036700848763,0.0,0.2556510357853569,1.441115181588798,0.7321428571428572,0.41891891891891897,0.0,0.5070993914807302,0.7319675629534785
27.5,58.0,0.0,12.6,3,0,0,24.56,6,False,False,False,False,True,False,False,False,1.1858407063574223,-0.0750239333925535,0.0,0.1509971483038121,1.3462998528256709,0.7071428571428571,0.44594594594594594,0.0,0.48275862068965514,0.7131882202304738
20.257831325301208,61.0,0.0,11.5,3,1,0,18.66,6,False,False,False,False,True,False,False,False,5.817252659514562e-16,0.07654571703134767,0.0,-0.040868312079020065,0.07491248986556354,0.44849397590361456,0.4864864864864865,0.0,0.4381338742393509,0.46137430644472904
25.7,59.484939759036145,0.0,11.2,3,2,0,23.16,6,False,False,False,False,True,False,False,False,0.8911067161231868,0.0,0.0,-0.09319525581979261,1.0446147158520862,0.6428571428571428,0.4660126994464344,0.0,0.42596348884381335,0.6534357661118224
25.2,67.0,0.0,10.9,3,3,0,23.19,6,False,False,False,False,True,False,False,False,0.8092361632803436,0.37968501787915004,0.0,-0.14552219956056486,1.0510793973586634,0.625,0.5675675675675677,0.0,0.4137931034482759,0.6547161758429365
25.2,64.0,0.0,11.6,3,4,0,23.01,6,False,False,False,False,True,False,False,False,0.8092361632803436,0.22811536745524885,0.0,-0.02342599749876265,1.0122913083192024,0.625,0.5270270270270271,0.0,0.4421906693711968,0.6470337174562528
24.3,66.0,0.0,11.5,3,5,0,22.36,6,False,False,False,False,True,False,False,False,0.6618691681632262,0.329161801071183,0.0,-0.040868312079020065,0.8722232090100377,0.592857142857143,0.5540540540540541,0.0,0.4381338742393509,0.6192915066154503
24.0,67.0,0.0,11.2,3,6,1,22.15,6,False,False,False,False,True,False,False,False,0.6127468364575201,0.37968501787915004,0.0,-0.09319525581979261,0.8269704384639998,0.5821428571428571,0.5675675675675677,0.0,0.42596348884381335,0.6103286384976525
24.9,63.0,0.0,11.4,2,7,1,22.69,6,False,False,False,False,False,True,False,False,0.7601138315746376,0.1775921506472818,0.0,-0.05831062665927748,0.9433347055823831,0.6142857142857143,0.5135135135135136,0.0,0.4340770791075051,0.6333760136577038
27.0,55.0,0.0,15.4,0,8,1,23.94,6,True,False,False,False,False,False,False,False,1.1039701535145792,-0.2265935838164547,0.0,0.6393819565510216,1.2126964350230838,0.6892857142857143,0.4054054054054055,0.0,0.5963488843813388,0.6867264191207854
20.257831325301208,44.0,0.0,17.7,0,9,1,17.96,6,True,False,False,False,False,False,False,False,5.817252659514562e-16,-0.7823489687040923,0.0,1.0405551918969433,-0.07593007862122875,0.44849397590361456,0.2567567567567568,0.0,0.689655172413793,0.43149807938540335
30.6,42.0,0.0,17.9,0,10,1,25.82,6,True,False,False,False,False,False,False,False,1.69343813398305,-0.8833954023200264,0.0,1.0754398210574583,1.6178164761018976,0.8178571428571428,0.22972972972972971,0.0,0.6977687626774848,0.76696542893726
31.7,40.0,0.0,17.7,0,11,1,26.49,6,True,False,False,False,False,False,False,False,1.8735533502373045,-0.9844418359359606,0.0,1.0405551918969433,1.7621943630821129,0.8571428571428572,0.20270270270270274,0.0,0.689655172413793,0.7955612462654715
20.257831325301208,36.0,0.0,17.1,0,12,1,17.63,6,True,False,False,False,False,False,False,False,5.817252659514562e-16,-1.1865347031678288,0.0,0.9359013044153989,-0.14704157519357416,0.44849397590361456,0.14864864864864868,0.0,0.6653144016227182,0.41741357234314974
34.2,32.0,0.0,18.0,0,13,1,27.62,6,True,False,False,False,False,False,False,False,2.282906114451521,-1.388627570399697,0.0,1.0928821356377159,2.005697366496507,0.9464285714285716,0.09459459459459463,0.0,0.7018255578093306,0.8437900128040974
34.7,31.0,0.0,11.45,0,14,1,27.88,6,True,False,False,False,False,False,False,False,2.364776667294364,-1.439150787207664,0.0,-0.049589469369148924,2.061724606220172,0.9642857142857144,0.08108108108108114,0.0,0.43610547667342797,0.8548868971404182
35.2,30.0,0.0,17.3,0,15,1,28.14,6,True,False,False,False,False,False,False,False,2.446647220137207,-1.489674004015631,0.0,0.9707859335759137,2.1177518459438383,0.9821428571428572,0.0675675675675676,0.0,0.6734279918864098,0.8659837814767393
32.5,40.0,0.0,25.349999999999998,2,16,1,27.1,6,False,False,False,False,False,True,False,False,2.004546234785854,-0.9844418359359606,0.0,2.37489225728664,1.8936428870491755,0.8857142857142857,0.20270270270270274,0.0,0.9999999999999999,0.8215962441314555
